fsa,name_/_area,rovince_/_territory,lat,lon,nearest_major_airport,airport_iata,airport_sl_km,"dist_set_a_km
(yvr+sfo)","dist_set_b_km
(yyz+jfk)",further_set,d1_name,d1_sl_km,d1_driving_km,d1_driving_hrs,d2_name,d2_sl_km,d2_driving_km,d2_driving_hrs,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,"set_airport_1
(iata)",co2e_set1_kg,co2e_set2_kg
L5T,Mississauga (Courtney Park / East Gateway),Ontario,43.6683,-79.6182,Toronto Pearson Intl,YYZ,1.2,3487.6,294.2,A,Niagara Falls ON,77.4,118.9,1.5313,Sault Ste. Marie ON,488.4,831.38,9.3797,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5V,Mississauga (East Credit),Ontario,43.5972,-79.6931,Toronto Pearson Intl,YYZ,10.5,3483.9,299.3,A,Niagara Falls ON,74.9,109.03,1.3554,Mont-Tremblant QC,489.7,622.99,7.8258,1204.7,1260.4,1892.0,YVR,703.9,740.7
L5W,Mississauga (Meadowvale Village / West Gateway),Ontario,43.6313,-79.7148,Toronto Pearson Intl,YYZ,8.9,3481.3,300.2,A,Niagara Falls ON,78.9,112.98,1.4403,Mont-Tremblant QC,488.9,622.11,7.8187,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6A,Maple,Ontario,43.8501,-79.5163,Toronto Pearson Intl,YYZ,21.1,3490.2,306.4,A,Niagara Falls ON,91.4,144.79,1.8372,Sault Ste. Marie ON,481.3,667.87,9.2652,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6B,Markham East,Ontario,43.9007,-79.2175,Toronto Pearson Intl,YYZ,41.0,3511.5,308.4,A,Niagara Falls ON,90.8,166.45,2.0701,Sault Ste. Marie ON,496.4,703.95,9.6882,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6C,Markham Northwest,Ontario,43.9045,-79.3392,Toronto Pearson Intl,YYZ,34.1,3502.1,308.9,A,Niagara Falls ON,92.9,160.24,2.0075,Montreal QC,489.4,545.44,6.6877,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6E,Markham Northeast,Ontario,43.9002,-79.2676,Toronto Pearson Intl,YYZ,37.9,3507.7,308.4,A,Niagara Falls ON,91.3,164.04,2.0826,Sault Ste. Marie ON,493.3,690.25,9.6829,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6G,Markham Inner Southwest,Ontario,43.8485,-79.3346,Toronto Pearson Intl,YYZ,30.1,3504.1,304.9,A,Niagara Falls ON,86.8,154.87,1.9252,Sault Ste. Marie ON,492.7,692.37,9.5432,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6H,Oakville North,Ontario,43.4881,-79.7098,Toronto Pearson Intl,YYZ,22.2,3485.8,302.5,A,Niagara Falls ON,67.2,96.21,1.2192,Mont-Tremblant QC,498.1,635.92,8.0303,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6J,Oakville Northeast,Ontario,43.4757,-79.6591,Toronto Pearson Intl,YYZ,22.6,3490.0,300.6,A,Niagara Falls ON,63.3,97.96,1.2084,Mont-Tremblant QC,495.7,635.29,7.9935,1204.7,1260.4,1892.0,YVR,703.9,740.7
