fsa,further_set,d1_name,d2_name,flight_dest_1,flight_dest_2,flight_dest_3,flight_dest_4,flight_dest_5
C0A,A,Halifax NS,Corner Brook NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
C0B,A,Halifax NS,La Malbaie / Charlevoix QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
C1A,A,Halifax NS,Corner Brook NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
C1B,A,Halifax NS,Corner Brook NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
C1C,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
C1E,A,Halifax NS,Corner Brook NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
C1N,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1A,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1B,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1C,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1E,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1G,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1H,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1J,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1N,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1V,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1W,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E1X,A,Quebec City QC (Old City),Saguenay / Chicoutimi QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2A,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2E,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2G,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2H,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2J,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2K,A,Quebec City QC (Old City),Baie-Comeau QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2L,A,Quebec City QC (Old City),Baie-Comeau QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2M,A,Quebec City QC (Old City),Baie-Comeau QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2N,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2P,A,Quebec City QC (Old City),Baie-Comeau QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2R,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2S,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E2V,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3A,A,Quebec City QC (Old City),Trois-Rivières QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3B,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3C,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
