Canada FSA Climate Footprint Database,,,,,,,,,,,,,,,,,,,,,,,,
"1,650 Forward Sortation Areas | Set A = YVR + SFO (Pacific) | Set B = YYZ + JFK (Atlantic)",,,,,,,,,,,,,,,,,,,,,,,,
FSA,Name / Area,Province / Territory,Lat,Lon,Nearest Major Airport,Airport IATA,Airport SL km,"Dist Set A km
(YVR+SFO)","Dist Set B km
(YYZ+JFK)",Further Set,D1 Name,D1 SL km,D1 Driving km,D1 Driving hrs,D2 Name,D2 SL km,D2 Driving km,D2 Driving hrs,CO2e CDG kg,CO2e LHR kg,CO2e NRT kg,"Set Airport 1
(IATA)",CO2e Set1 kg,CO2e Set2 kg
B0N,Hants County (Shubenacadie),Nova Scotia,45.0963,-63.4701,Halifax Stanfield Intl,YHZ,24.2,"4,648.4","1,132.7",A,Halifax NS,50.4,64.28,0.9958,Edmundston NB,450.4,649.13,7.5938,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0P,Kings County (Kingston),Nova Scotia,45.0328,-64.6566,Halifax Stanfield Intl,YHZ,91.9,"4,563.9","1,043.3",A,Halifax NS,95.4,116.81,1.5862,Rivière-du-Loup QC,486.3,907.59,10.8327,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0R,West Lunenburg County (New Germany),Nova Scotia,44.6003,-64.7443,Halifax Stanfield Intl,YHZ,102.5,"4,573.5","1,024.9",A,Halifax NS,92.7,133.01,2.0002,Gaspé QC,470.9,990.77,13.6527,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0S,West Annapolis County (Middleton),Nova Scotia,44.6861,-65.3002,Halifax Stanfield Intl,YHZ,143.0,"4,529.3",986.0,A,Halifax NS,136.5,202.56,3.2801,La Malbaie / Charlevoix QC,498.0,1342.4,17.192,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0T,Queens County (Shelburne),Nova Scotia,44.0802,-65.1175,Halifax Stanfield Intl,YHZ,155.6,"4,565.6",984.7,A,Halifax NS,137.9,184.62,3.7605,Campbellton / Restigouche NB,451.9,725.98,10.52,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0V,Digby Neck (Digby),Nova Scotia,44.5342,-65.7783,Halifax Stanfield Intl,YHZ,183.5,"4,499.6",946.4,A,Quebec City QC (Old City),492.0,1207.37,15.1071,Sherbrooke QC,490.5,1199.72,15.974,913.9,810.8,"2,657.0",YVR,774.9,917.6
B0W,Southwest Mainland (Weymouth),Nova Scotia,44.0486,-65.7547,Halifax Stanfield Intl,YHZ,200.8,"4,519.5",935.7,A,Halifax NS,185.7,275.49,3.9702,Îles de la Madeleine QC,478.0,807.95,14.2235,913.9,810.8,"2,657.0",YVR,774.9,917.6
B1A,Glace Bay,Nova Scotia,46.1970,-59.9570,Iles-de-la-Madeleine Airport,YGR,194.5,"4,860.6","1,421.1",A,Halifax NS,330.7,421.44,5.6832,Saint John NB,484.8,641.47,8.1148,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1B,Port Morien,Nova Scotia,46.1174,-59.9144,Iles-de-la-Madeleine Airport,YGR,203.2,"4,866.7","1,422.3",A,Halifax NS,329.2,437.57,6.0436,Saint John NB,486.6,657.6,8.4752,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1C,Louisbourg,Nova Scotia,45.9485,-59.9737,Iles-de-la-Madeleine Airport,YGR,214.2,"4,869.0","1,413.7",A,Halifax NS,316.6,428.41,5.7827,Saint John NB,479.5,648.45,8.2144,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1E,Reserve Mines,Nova Scotia,46.1845,-60.0166,Iles-de-la-Madeleine Airport,YGR,192.3,"4,856.8","1,416.4",A,Halifax NS,326.0,416.62,5.6083,Saint John NB,480.0,636.65,8.04,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1G,Dominion,Nova Scotia,46.2168,-60.0151,Iles-de-la-Madeleine Airport,YGR,189.8,"4,855.7","1,417.4",A,Halifax NS,327.9,419.78,5.6949,Saint John NB,480.8,639.81,8.1266,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1H,New Waterford,Nova Scotia,46.2501,-60.0817,Iles-de-la-Madeleine Airport,YGR,183.6,"4,849.6","1,413.4",A,Halifax NS,325.5,422.03,5.7437,Saint John NB,476.4,642.06,8.1753,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1J,East Bay,Nova Scotia,45.9834,-60.3652,Iles-de-la-Madeleine Airport,YGR,193.1,"4,839.5","1,385.6",A,Halifax NS,291.6,396.13,5.8168,Fredericton NB,485.0,639.68,8.537,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1K,Marion Bridge,Nova Scotia,45.9668,-60.2318,Iles-de-la-Madeleine Airport,YGR,200.5,"4,849.8","1,395.1",A,Halifax NS,299.7,415.04,5.6546,Fredericton NB,495.4,658.59,8.3748,853.5,969.2,"2,341.8",YVR,861.0,859.3
